Model_Category;Question_Category;Prompt_id;Model;Answer_quality;Electricity_consumption;CO2_emission;Inference_timing
Small;Easy Factual;1;Gemma 3nb;3;0.09;0.06;4
Small;Easy Factual;1;Llama 3.1 8b;4;0.14;0.09;4
Medium;Easy Factual;1;Mistral Small;4;0.64;0.39;4.71
Medium;Easy Factual;1;GPT 20 OSS;3;0.46;0.28;3.06
Large;Easy Factual;1;GPT 5;3;1.47;0.9;5.6
Large;Easy Factual;1;DeepSeek R1;5;24;15;41.21
Small;Easy Factual;2;Gemma 3nb;3;0.14;0.09;6.29
Small;Easy Factual;2;Llama 3.1 8b;4;0.17;0.1;6.29
Medium;Easy Factual;2;Mistral Small;3;0.88;0.54;7.26
Medium;Easy Factual;2;GPT 20 OSS;4;0.34;0.21;7.26
Large;Easy Factual;2;GPT 5;4;8;5;20.71
Large;Easy Factual;2;DeepSeek R1;4;24;14;20.71
Small;Easy Factual;3;Gemma 3nb;4;1.48;0.73;10.12
Small;Easy Factual;3;Llama 3.1 8b;4;1.37;0.84;10.12
Medium;Easy Factual;3;Mistral Small;5;2;1.26;12.28
Medium;Easy Factual;3;GPT 20 OSS;4;1.17;0.72;12.28
Large;Easy Factual;3;GPT 5;4;39;24;39.09
Large;Easy Factual;3;DeepSeek R1;4;53;32;39.09
Small;Easy Factual;4;Gemma 3nb;5;0.58;0.36;7.11
Small;Easy Factual;4;Llama 3.1 8b;5;0.72;0.44;7.11
Medium;Easy Factual;4;Mistral Small;5;1.37;0.84;11.14
Medium;Easy Factual;4;GPT 20 OSS;4;0.7;0.43;11.14
Large;Easy Factual;4;GPT 5;4;11;7;8.74
Large;Easy Factual;4;DeepSeek R1;4;95;58;82
Small;Easy Factual;5;Gemma 3nb;5;0.12;0.07;2.99
Small;Easy Factual;5;Llama 3.1 8b;5;0.14;0.08;2.99
Medium;Easy Factual;5;Mistral Small;5;0.25;0.15;3.07
Medium;Easy Factual;5;GPT 20 OSS;5;33;21;3.07
Large;Easy Factual;5;GPT 5;4;7;4;19.58
Large;Easy Factual;5;DeepSeek R1;5;33;20;21.34
Small;Easy Factual;6;Gemma 3nb;5;3;1.71;19.67
Small;Easy Factual;6;Llama 3.1 8b;5;1.85;1.14;14.86
Medium;Easy Factual;6;Mistral Small;5;3;1.97;19.98
Medium;Easy Factual;6;GPT 20 OSS;5;3;1.83;19.98
Large;Easy Factual;6;GPT 5;5;22;14;42.31
Large;Easy Factual;6;DeepSeek R1;5;60;37;42.31
Small;Easy Factual;7;Gemma 3nb;5;0.23;0.14;4.27
Small;Easy Factual;7;Llama 3.1 8b;5;0.39;0.24;4.27
Medium;Easy Factual;7;Mistral Small;5;0.55;0.34;3.64
Medium;Easy Factual;7;GPT 20 OSS;4;0.34;0.21;3.64
Large;Easy Factual;7;GPT 5;5;5;3;10.82
Large;Easy Factual;7;DeepSeek R1;5;24;15;25.85
Small;Easy Factual;8;Gemma 3nb;5;0.57;0.35;7.88
Small;Easy Factual;8;Llama 3.1 8b;5;0.47;0.29;7.88
Medium;Easy Factual;8;Mistral Small;5;0.45;0.72;5.96
Medium;Easy Factual;8;GPT 20 OSS;5;0.59;0.37;5.96
Large;Easy Factual;8;GPT 5;5;12;7;25.24
Large;Easy Factual;8;DeepSeek R1;5;21;13;16.78
Small;Easy Factual;9;Gemma 3nb;5;0.91;0.56;11.44
Small;Easy Factual;9;Llama 3.1 8b;5;0.12;0.07;3.76
Medium;Easy Factual;9;Mistral Small;5;0.11;0.07;3
Medium;Easy Factual;9;GPT 20 OSS;5;0.25;0.15;5.07
Large;Easy Factual;9;GPT 5;5;6;4;20.5
Large;Easy Factual;9;DeepSeek R1;5;56;34;62.38
Small;Easy Factual;10;Gemma 3nb;5;0.93;0.57;8.62
Small;Easy Factual;10;Llama 3.1 8b;5;0.77;0.48;4.9
Medium;Easy Factual;10;Mistral Small;5;0.32;0.2;3.82
Medium;Easy Factual;10;GPT 20 OSS;5;0.5;0.31;2
Large;Easy Factual;10;GPT 5;5;12;7;19.43
Large;Easy Factual;10;DeepSeek R1;5;52;32;60.49
Small;Reasoning & Quantitative;11;Gemma 3nb;4;0.35;0.4;6.72
Small;Reasoning & Quantitative;11;Llama 3.1 8b;5;1.15;0.71;5.1
Medium;Reasoning & Quantitative;11;Mistral Small;5;8;5;9.17
Medium;Reasoning & Quantitative;11;GPT 20 OSS;5;2;1.33;9.17
Large;Reasoning & Quantitative;11;GPT 5;4;19;12;32.51
Large;Reasoning & Quantitative;11;DeepSeek R1;5;110;68;21.31
Small;Reasoning & Quantitative;12;Gemma 3nb;4;1.31;0.8;19.29
Small;Reasoning & Quantitative;12;Llama 3.1 8b;3;0.97;0.6;19.29
Medium;Reasoning & Quantitative;12;Mistral Small;4;4;3;31.3
Medium;Reasoning & Quantitative;12;GPT 20 OSS;5;3;1.69;28.71
Large;Reasoning & Quantitative;12;GPT 5;3;18;11;1.7
Large;Reasoning & Quantitative;12;DeepSeek R1;5;166;102;3.2
Small;Reasoning & Quantitative;13;Gemma 3nb;5;0.89;0.55;8.48
Small;Reasoning & Quantitative;13;Llama 3.1 8b;5;0.65;0.4;8.48
